date,rented_bike_count,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,seasons,holiday,functioning_day,time_of_day,weekday,workday,did_it_rain,did_it_snow,month,week,year
2018-02-02,115,6,-7,0.62,1.3,1830,-13,0,0,0,Winter,No Holiday,Yes,Morning,Fri,Yes,No,No,Feb,9,2018
2018-10-16,145,4,11,0.69,0.6,1510,5.5,0,0,0,Autumn,No Holiday,Yes,Night,Tue,Yes,No,No,Oct,46,2018
2018-06-08,769,1,18.8,0.84,1.7,658,16,0,0,0,Summer,No Holiday,Yes,Night,Fri,Yes,No,No,Jun,27,2018
2018-01-16,381,17,5.2,0.58,0.8,462,-2.4,0.08,0,0,Winter,No Holiday,Yes,Afternoon,Tue,Yes,No,No,Jan,7,2018
2018-08-26,1070,12,28.9,0.42,2,1975,14.6,2.5,0,0,Summer,No Holiday,Yes,Afternoon,Sun,No,No,No,Aug,39,2018
2018-11-17,994,12,9.1,0.34,1,1802,-5.9,1.95,0,0,Autumn,No Holiday,Yes,Afternoon,Sat,No,No,No,Nov,50,2018
2018-10-28,544,11,9.4,0.86,1.2,1220,7.1,0.75,0,0,Autumn,No Holiday,Yes,Morning,Sun,No,No,No,Oct,48,2018
2018-08-06,1956,18,32.8,0.63,1.3,1799,24.8,0.31,0,0,Summer,No Holiday,Yes,Evening,Mon,Yes,No,No,Aug,36,2018
2018-07-18,982,9,27.2,0.59,0.4,948,18.4,1.18,0,0,Summer,No Holiday,Yes,Morning,Wed,Yes,No,No,Jul,33,2018
2018-07-09,554,1,23.7,0.64,0.8,2000,16.4,0,0,0,Summer,No Holiday,Yes,Night,Mon,Yes,No,No,Jul,32,2018
2018-02-25,572,14,7,0.23,2.4,1645,-12.7,2.52,0,0,Winter,No Holiday,Yes,Afternoon,Sun,No,No,No,Feb,13,2018
2018-06-02,989,1,20.2,0.57,0.4,1428,11.4,0,0,0,Summer,No Holiday,Yes,Night,Sat,No,No,No,Jun,26,2018
2018-09-11,922,10,21.9,0.43,1.1,2000,8.7,1.89,0,0,Autumn,No Holiday,Yes,Morning,Tue,Yes,No,No,Sep,41,2018
2018-09-15,1474,17,24.4,0.75,0.6,2000,19.6,0.17,0,0,Autumn,No Holiday,Yes,Afternoon,Sat,No,No,No,Sep,41,2018
2017-12-19,39,4,-2.9,0.59,1.8,1286,-9.8,0,0,2.6,Winter,No Holiday,Yes,Night,Tue,Yes,No,Yes,Dec,3,2017
2018-02-17,258,14,-0.1,0.15,4,2000,-23.7,2.39,0,0,Winter,Holiday,Yes,Afternoon,Sat,No,No,No,Feb,11,2018
2018-02-05,388,18,-7.6,0.29,3.5,2000,-22.6,0.16,0,0,Winter,No Holiday,Yes,Evening,Mon,Yes,No,No,Feb,10,2018
2018-09-12,1309,23,22.2,0.62,0.8,2000,14.5,0,0,0,Autumn,No Holiday,Yes,Evening,Wed,Yes,No,No,Sep,41,2018
2018-04-21,307,3,14.2,0.62,1.4,583,7,0,0,0,Spring,No Holiday,Yes,Night,Sat,No,No,No,Apr,20,2018
2018-09-24,1237,18,20.3,0.35,2.4,2000,4.3,0.46,0,0,Autumn,Holiday,Yes,Evening,Mon,Yes,No,No,Sep,43,2018
2018-02-05,227,7,-11.6,0.44,1.6,2000,-21.4,0,0,0,Winter,No Holiday,Yes,Morning,Mon,Yes,No,No,Feb,10,2018
2017-12-30,333,13,4,0.62,1,256,-2.6,0.51,0,0,Winter,No Holiday,Yes,Afternoon,Sat,No,No,No,Dec,4,2017
2018-02-18,238,19,1.5,0.3,2.6,2000,-14.2,0,0,0,Winter,No Holiday,Yes,Evening,Sun,No,No,No,Feb,12,2018
2018-09-12,215,4,18,0.59,1.5,2000,9.8,0,0,0,Autumn,No Holiday,Yes,Night,Wed,Yes,No,No,Sep,41,2018
2018-02-08,39,5,-9,0.56,0.4,1678,-16.1,0,0,0,Winter,No Holiday,Yes,Night,Thu,Yes,No,No,Feb,10,2018
2018-10-26,1386,17,14.3,0.77,2.9,1966,10.3,0.5,0,0,Autumn,No Holiday,Yes,Afternoon,Fri,Yes,No,No,Oct,47,2018
2018-11-24,79,6,3.7,0.25,2.3,2000,-14.5,0,0,0,Autumn,No Holiday,Yes,Morning,Sat,No,No,No,Nov,51,2018
2018-07-05,438,6,23.5,0.8,0.3,768,19.8,0,0,0,Summer,No Holiday,Yes,Morning,Thu,Yes,No,No,Jul,31,2018
2018-04-05,31,16,8.1,0.96,1.5,281,7.4,0.21,1,0,Spring,No Holiday,Yes,Afternoon,Thu,Yes,Yes,No,Apr,18,2018
2018-03-01,11,5,2.2,0.97,2.9,362,1.7,0,0,0,Spring,Holiday,Yes,Night,Thu,Yes,No,No,Mar,13,2018
2018-06-30,1107,22,23.4,0.88,0.9,1153,21.2,0,0,0,Summer,No Holiday,Yes,Evening,Sat,No,No,No,Jun,30,2018
2018-01-30,84,2,-10.6,0.4,1,2000,-21.6,0,0,0,Winter,No Holiday,Yes,Night,Tue,Yes,No,No,Jan,9,2018
2018-01-02,186,23,-3.8,0.35,2.3,2000,-17,0,0,0,Winter,No Holiday,Yes,Evening,Tue,Yes,No,No,Jan,5,2018
2018-05-17,152,8,19.7,0.98,0.5,1958,19.3,0.12,13.5,0,Spring,No Holiday,Yes,Morning,Thu,Yes,Yes,No,May,24,2018
2018-04-30,1075,7,15.1,0.78,1.5,354,11.2,0.06,0,0,Spring,No Holiday,Yes,Morning,Mon,Yes,No,No,Apr,22,2018
2018-11-07,1171,8,11.3,0.89,1.1,279,9.5,0.01,0,0,Autumn,No Holiday,Yes,Morning,Wed,Yes,No,No,Nov,49,2018
2018-09-16,188,4,22.5,0.89,0.7,444,20.5,0,0.3,0,Autumn,No Holiday,Yes,Night,Sun,No,Yes,No,Sep,42,2018
2018-08-02,295,3,31.1,0.7,0.4,1449,24.9,0,0,0,Summer,No Holiday,Yes,Night,Thu,Yes,No,No,Aug,35,2018
2018-06-07,914,10,22,0.69,2,488,16,2.04,0,0,Summer,No Holiday,Yes,Morning,Thu,Yes,No,No,Jun,27,2018
2018-09-11,193,4,17.7,0.52,1.5,2000,7.7,0,0,0,Autumn,No Holiday,Yes,Night,Tue,Yes,No,No,Sep,41,2018
2018-08-18,1121,14,31,0.31,1.8,1999,11.8,2.8,0,0,Summer,No Holiday,Yes,Afternoon,Sat,No,No,No,Aug,37,2018
2018-07-05,568,2,23.6,0.8,1.5,879,19.9,0,0,0,Summer,No Holiday,Yes,Night,Thu,Yes,No,No,Jul,31,2018
2018-09-20,111,11,18.8,0.95,1.5,597,17.9,0.46,0,0,Autumn,No Holiday,Yes,Morning,Thu,Yes,No,No,Sep,42,2018
2018-06-19,2328,17,25.1,0.51,2.4,1714,14.2,1.15,0,0,Summer,No Holiday,Yes,Afternoon,Tue,Yes,No,No,Jun,29,2018
2018-05-12,20,8,12,0.87,1,296,9.8,0.1,1,0,Spring,No Holiday,Yes,Morning,Sat,No,Yes,No,May,23,2018
2018-11-17,1018,15,8.9,0.34,2.9,1787,-6.1,0.52,0,0,Autumn,No Holiday,Yes,Afternoon,Sat,No,No,No,Nov,50,2018
2018-11-14,1019,9,7.1,0.61,0.5,1493,0,0.57,0,0,Autumn,No Holiday,Yes,Morning,Wed,Yes,No,No,Nov,50,2018
2018-01-23,117,22,-13.9,0.45,4,2000,-23.2,0,0,0.9,Winter,No Holiday,Yes,Evening,Tue,Yes,No,Yes,Jan,8,2018
2018-01-21,383,17,3.8,0.2,1.3,2000,-17.1,0.24,0,0,Winter,No Holiday,Yes,Afternoon,Sun,No,No,No,Jan,8,2018
2018-01-19,151,6,-1.8,0.49,1.4,1359,-11.1,0,0,0,Winter,No Holiday,Yes,Morning,Fri,Yes,No,No,Jan,7,2018
2018-03-22,1495,18,7.9,0.46,3.1,1057,-3,0.58,0,0,Spring,No Holiday,Yes,Evening,Thu,Yes,No,No,Mar,16,2018
2018-06-29,2099,17,28.5,0.6,2.6,1014,19.9,1.33,0,0,Summer,No Holiday,Yes,Afternoon,Fri,Yes,No,No,Jun,30,2018
2018-01-15,306,14,7.1,0.52,2.1,646,-2.1,0.76,0,0,Winter,No Holiday,Yes,Afternoon,Mon,Yes,No,No,Jan,7,2018
2018-06-08,1672,23,20,0.79,1.4,510,16.2,0,0,0,Summer,No Holiday,Yes,Evening,Fri,Yes,No,No,Jun,27,2018
2018-02-24,462,17,4.9,0.28,3.1,1477,-12.1,0.77,0,0,Winter,No Holiday,Yes,Afternoon,Sat,No,No,No,Feb,12,2018
2018-01-10,217,12,-5.6,0.44,4.5,1830,-15.9,1.1,0,0.5,Winter,No Holiday,Yes,Afternoon,Wed,Yes,No,Yes,Jan,6,2018
2018-01-22,187,21,-1.8,0.85,2.9,590,-3.9,0,0,1,Winter,No Holiday,Yes,Evening,Mon,Yes,No,Yes,Jan,8,2018
2018-10-01,1057,23,13.4,0.69,3.7,2000,7.8,0,0,0,Autumn,No Holiday,Yes,Evening,Mon,Yes,No,No,Oct,44,2018
2018-03-24,589,11,9,0.56,2,399,0.6,1.11,0,0,Spring,No Holiday,Yes,Morning,Sat,No,No,No,Mar,16,2018
2018-08-21,57,5,23.8,0.86,3.6,420,21.3,0,1,0,Summer,No Holiday,Yes,Night,Tue,Yes,Yes,No,Aug,38,2018
2018-02-04,98,0,-10.4,0.49,2.4,2000,-19,0,0,0,Winter,No Holiday,Yes,Night,Sun,No,No,No,Feb,10,2018
2018-02-02,227,22,-2.4,0.63,1.3,1523,-8.4,0,0,0,Winter,No Holiday,Yes,Evening,Fri,Yes,No,No,Feb,9,2018
2018-07-29,245,4,27,0.74,0.8,1816,21.9,0,0,0,Summer,No Holiday,Yes,Night,Sun,No,No,No,Jul,35,2018
2018-07-26,602,6,27.4,0.77,0.7,1113,23,0,0,0,Summer,No Holiday,Yes,Morning,Thu,Yes,No,No,Jul,34,2018
2018-09-08,504,3,17.8,0.6,0.2,2000,9.9,0,0,0,Autumn,No Holiday,Yes,Night,Sat,No,No,No,Sep,40,2018
2018-03-30,880,22,12.7,0.76,1.5,521,8.5,0,0,0,Spring,No Holiday,Yes,Evening,Fri,Yes,No,No,Mar,17,2018
2018-08-18,316,4,22.6,0.55,1.4,2000,13,0,0,0,Summer,No Holiday,Yes,Night,Sat,No,No,No,Aug,37,2018
2017-12-16,212,18,-5.3,0.28,3.5,2000,-21,0,0,0,Winter,No Holiday,Yes,Evening,Sat,No,No,No,Dec,2,2017
2018-01-16,277,16,5.8,0.5,0.9,547,-3.8,0.11,0,0,Winter,No Holiday,Yes,Afternoon,Tue,Yes,No,No,Jan,7,2018
2018-09-29,513,7,14.7,0.76,0.8,2000,10.5,0.02,0,0,Autumn,No Holiday,Yes,Morning,Sat,No,No,No,Sep,43,2018
2018-03-07,646,16,10.4,0.36,3.2,1963,-4,1.02,0,0,Spring,No Holiday,Yes,Afternoon,Wed,Yes,No,No,Mar,14,2018
2018-09-06,1089,15,27.8,0.48,3,1880,15.7,0.93,0,0,Autumn,No Holiday,Yes,Afternoon,Thu,Yes,No,No,Sep,40,2018
2017-12-29,210,2,0.5,0.63,1,691,-5.7,0,0,0,Winter,No Holiday,Yes,Night,Fri,Yes,No,No,Dec,4,2017
2018-07-12,231,5,25.9,0.91,0.4,872,24.3,0,0.5,0,Summer,No Holiday,Yes,Night,Thu,Yes,Yes,No,Jul,32,2018
2018-06-27,3172,18,25,0.69,1.5,1125,18.9,0.52,0,0,Summer,No Holiday,Yes,Evening,Wed,Yes,No,No,Jun,30,2018
2018-11-14,1028,13,15.7,0.41,2.3,1322,2.4,2.01,0,0,Autumn,No Holiday,Yes,Afternoon,Wed,Yes,No,No,Nov,50,2018
2018-04-22,12,20,13.3,0.8,1.8,821,9.9,0,1.5,0,Spring,No Holiday,Yes,Evening,Sun,No,Yes,No,Apr,21,2018
2018-02-07,214,7,-13.2,0.56,0.9,1665,-20.1,0,0,0,Winter,No Holiday,Yes,Morning,Wed,Yes,No,No,Feb,10,2018
2018-07-07,1191,0,21.5,0.56,1.8,2000,12.3,0,0,0,Summer,No Holiday,Yes,Night,Sat,No,No,No,Jul,31,2018
2018-08-01,521,11,35.8,0.41,1.6,1795,20.4,2.77,0,0,Summer,No Holiday,Yes,Morning,Wed,Yes,No,No,Aug,35,2018
2018-06-25,1437,23,27.2,0.55,0.7,920,17.3,0,0,0,Summer,No Holiday,Yes,Evening,Mon,Yes,No,No,Jun,30,2018
2018-10-25,1961,17,19.2,0.36,0.7,1643,3.7,0.38,0,0,Autumn,No Holiday,Yes,Afternoon,Thu,Yes,No,No,Oct,47,2018
2018-05-13,993,11,16.4,0.78,1.6,1209,12.5,1.37,0,0,Spring,No Holiday,Yes,Morning,Sun,No,No,No,May,24,2018
2018-08-30,589,10,26.1,0.81,1.5,860,22.5,1.05,0,0,Summer,No Holiday,Yes,Morning,Thu,Yes,No,No,Aug,39,2018
2018-05-15,1239,7,16.2,0.79,1.2,239,12.5,0.36,0,0,Spring,No Holiday,Yes,Morning,Tue,Yes,No,No,May,24,2018
2018-11-07,526,7,10.8,0.91,1.3,216,9.3,0,0,0,Autumn,No Holiday,Yes,Morning,Wed,Yes,No,No,Nov,49,2018
2018-08-04,872,1,29.9,0.61,1.1,1745,21.5,0,0,0,Summer,No Holiday,Yes,Night,Sat,No,No,No,Aug,35,2018
2018-08-30,837,14,27.5,0.66,2.8,989,20.5,0.76,0,0,Summer,No Holiday,Yes,Afternoon,Thu,Yes,No,No,Aug,39,2018
2018-02-09,78,3,-5.2,0.48,0.7,1309,-14.5,0,0,0,Winter,No Holiday,Yes,Night,Fri,Yes,No,No,Feb,10,2018
2018-06-04,2508,20,23.4,0.43,1.1,2000,10,0.01,0,0,Summer,No Holiday,Yes,Evening,Mon,Yes,No,No,Jun,27,2018
2018-03-16,455,23,4.2,0.47,1.3,2000,-6.1,0,0,0,Spring,No Holiday,Yes,Evening,Fri,Yes,No,No,Mar,15,2018
2018-07-29,1108,23,29.9,0.45,1.4,2000,16.6,0,0,0,Summer,No Holiday,Yes,Evening,Sun,No,No,No,Jul,35,2018
2018-07-01,17,21,21.8,0.97,0.6,692,21.2,0,3.5,0,Summer,No Holiday,Yes,Evening,Sun,No,Yes,No,Jul,31,2018
2018-08-17,276,4,22.1,0.54,1.6,2000,12.3,0,0,0,Summer,No Holiday,Yes,Night,Fri,Yes,No,No,Aug,37,2018
2018-01-22,18,16,2,0.87,1.9,140,0,0.03,0,0,Winter,No Holiday,Yes,Afternoon,Mon,Yes,No,No,Jan,8,2018
2018-09-09,1877,15,28.9,0.27,1.8,2000,8,2.9,0,0,Autumn,No Holiday,Yes,Afternoon,Sun,No,No,No,Sep,41,2018
2018-04-01,588,23,16.3,0.82,1.3,480,13.2,0,0,0,Spring,No Holiday,Yes,Evening,Sun,No,No,No,Apr,18,2018
2018-06-13,2404,19,22.8,0.64,2.3,1444,15.6,0.45,0,0,Summer,No Holiday,Yes,Evening,Wed,Yes,No,No,Jun,28,2018
2018-07-27,1565,20,30.7,0.73,2.8,1310,25.2,0.04,0,0,Summer,No Holiday,Yes,Evening,Fri,Yes,No,No,Jul,34,2018
2018-04-20,891,23,17.3,0.57,0.6,807,8.6,0,0,0,Spring,No Holiday,Yes,Evening,Fri,Yes,No,No,Apr,20,2018
2018-11-28,140,5,3,0.34,1.1,1032,-11.3,0,0,0,Autumn,No Holiday,Yes,Night,Wed,Yes,No,No,Nov,52,2018
2018-04-14,612,19,9.5,0.76,2.3,2000,5.4,0.02,0,0,Spring,No Holiday,Yes,Evening,Sat,No,No,No,Apr,19,2018
2018-07-19,824,1,25.4,0.79,0.8,924,21.4,0,0,0,Summer,No Holiday,Yes,Night,Thu,Yes,No,No,Jul,33,2018
2018-02-14,129,2,1.2,0.64,0.9,1680,-4.8,0,0,0,Winter,No Holiday,Yes,Night,Wed,Yes,No,No,Feb,11,2018
2018-10-18,1804,17,16.9,0.44,1.6,2000,4.5,0.44,0,0,Autumn,No Holiday,Yes,Afternoon,Thu,Yes,No,No,Oct,46,2018
2018-01-28,125,0,-7.5,0.36,2.3,1972,-20,0,0,0,Winter,No Holiday,Yes,Night,Sun,No,No,No,Jan,9,2018
2018-09-23,489,2,16,0.72,1.3,2000,10.9,0,0,0,Autumn,Holiday,Yes,Night,Sun,No,No,No,Sep,43,2018
2018-01-04,159,0,-6.3,0.54,1.4,1990,-14.1,0,0,0,Winter,No Holiday,Yes,Night,Thu,Yes,No,No,Jan,5,2018
2018-04-30,2558,18,23,0.54,2.9,679,13.1,0.81,0,0,Spring,No Holiday,Yes,Evening,Mon,Yes,No,No,Apr,22,2018
2018-02-03,109,20,-8.5,0.31,4.1,2000,-22.6,0,0,0,Winter,No Holiday,Yes,Evening,Sat,No,No,No,Feb,9,2018
2018-04-28,1351,21,13.9,0.37,1.1,1751,-0.5,0,0,0,Spring,No Holiday,Yes,Evening,Sat,No,No,No,Apr,21,2018
2018-02-20,63,3,-1.3,0.8,0.7,392,-4.3,0,0,0,Winter,No Holiday,Yes,Night,Tue,Yes,No,No,Feb,12,2018
2018-08-15,346,6,28.4,0.74,1,1700,23.3,0,0,0,Summer,Holiday,Yes,Morning,Wed,Yes,No,No,Aug,37,2018
2017-12-30,274,12,3.2,0.64,0.8,258,-2.9,0.47,0,0,Winter,No Holiday,Yes,Afternoon,Sat,No,No,No,Dec,4,2017
2018-04-21,647,9,18.1,0.33,1.1,512,1.5,1.61,0,0,Spring,No Holiday,Yes,Morning,Sat,No,No,No,Apr,20,2018
2018-07-10,39,1,20.4,0.97,0.3,193,19.9,0,8.5,0,Summer,No Holiday,Yes,Night,Tue,Yes,Yes,No,Jul,32,2018
2018-05-11,1999,19,17.1,0.51,2.5,1223,6.8,0.06,0,0,Spring,No Holiday,Yes,Evening,Fri,Yes,No,No,May,23,2018
2018-09-09,2033,19,24.1,0.56,2.5,2000,14.7,0.04,0,0,Autumn,No Holiday,Yes,Evening,Sun,No,No,No,Sep,41,2018
2018-03-20,297,0,6.3,0.42,3.3,2000,-5.6,0,0,0,Spring,No Holiday,Yes,Night,Tue,Yes,No,No,Mar,16,2018
2018-08-30,80,2,24.7,0.96,1,337,24,0,6.5,0,Summer,No Holiday,Yes,Night,Thu,Yes,Yes,No,Aug,39,2018
2018-10-14,1394,12,17.2,0.33,1.1,1258,0.7,2.28,0,0,Autumn,No Holiday,Yes,Afternoon,Sun,No,No,No,Oct,46,2018
2018-04-06,659,19,4.8,0.48,3.8,1126,-5.3,0.17,0,0,Spring,No Holiday,Yes,Evening,Fri,Yes,No,No,Apr,18,2018
